venue	precision	recall
aaai	0.968503937007874	0.9318181818181818
aamas	1.0	1.0
acc	1.0	1.0
acm_multimedia	1.0	1.0
acm_trans._graph.	0.0	0.0
amcis	0.9984984984984985	1.0
amia	1.0	1.0
asp-dac	1.0	0.9968652037617555
bioinformatics	1.0	0.9411764705882353
cdc	0.9988137603795967	0.9988137603795967
chi	1.0	0.9952153110047847
chi_extended_abstracts	1.0	1.0
cikm	0.9042253521126761	0.8514588859416445
cogsci	1.0	1.0
coling	0.9972826086956522	1.0
commun._acm	0.203125	0.19117647058823528
compsac	1.0	1.0
comput._graph._forum	nan	nan
comput._j.	0.2	0.05263157894736842
computer_communications	nan	nan
computer_networks	0.0	0.0
corr	nan	nan
cvpr	0.9943396226415094	0.8887015177065767
dac	1.0	0.9977578475336323
date	0.9919028340080972	1.0
ecai	0.9945652173913043	0.9786096256684492
ecis	0.9796437659033079	1.0
embc	1.0	1.0
encyclopedia_of_database_systems	0.9581993569131833	0.9900332225913622
etfa	0.99609375	1.0
eurospeech	1.0	1.0
eusipco	1.0	1.0
expert_syst._appl.	nan	nan
focs	1.0	1.0
fskd	1.0	1.0
fundam._inform.	0.0	0.0
fusion	0.916058394160584	0.8776223776223776
fuzz-ieee	1.0	1.0
gecco	1.0	1.0
globecom	0.9992447129909365	1.0
hicss	1.0	1.0
icalt	1.0	1.0
icarcv	0.9711191335740073	1.0
icassp	0.9993986770895971	1.0
icc	0.9956678700361011	0.9992753623188406
iccad	0.9966996699669967	1.0
iccs	1.0	0.995260663507109
iccv	0.8888888888888888	0.7941176470588235
icdar	0.9627118644067797	1.0
icde	0.7781456953642384	0.685131195335277
icecs	0.9965986394557823	1.0
icip	1.0	1.0
icis	0.9975490196078431	1.0
icmc	0.9977064220183486	1.0
icme	1.0	1.0
icml	0.9880478087649402	0.9393939393939394
icnc	0.995260663507109	1.0
icpr	0.9956331877729258	1.0
icra	0.9972191323692993	1.0
icse	0.99079754601227	0.9969135802469136
icslp	1.0	1.0
ieee_computer	0.0	0.0
ieee_congress_on_evolutionary_computation	0.9924812030075187	1.0
ieee_journal_on_selected_areas_in_communications	0.0	0.0
ieee_software	0.0	0.0
ieee_trans._computers	0.5	0.05263157894736842
ieee_trans._information_theory	nan	nan
ieee_trans._knowl._data_eng.	0.375	0.07142857142857142
ieee_trans._parallel_distrib._syst.	0.0	0.0
ieee_trans._pattern_anal._mach._intell.	nan	nan
ieee_trans._software_eng.	0.2916666666666667	0.15217391304347827
igarss	0.9939984996249063	1.0
ijcai	0.9868421052631579	0.9973404255319149
ijcnn	0.9890710382513661	1.0
inf._process._lett.	0.0	0.0
inf._sci.	nan	nan
infocom	1.0	1.0
int._cmg_conference	1.0	1.0
interspeech	1.0	1.0
ipdps	1.0	1.0
iros	1.0	1.0
isbi	1.0	1.0
iscas	0.7788632326820604	0.9865016872890888
iscc	0.9938461538461538	1.0
isit	0.9850107066381156	1.0
itc	0.9387755102040817	0.915929203539823
j._acm	0.06944444444444445	0.15625
j._parallel_distrib._comput.	0.0	0.0
j._symb._log.	0.0	0.0
journal_of_systems_and_software	nan	nan
kdd	0.9793388429752066	0.9916317991631799
lcn	0.9895104895104895	0.9895104895104895
lrec	0.9978354978354979	1.0
multimedia_tools_appl.	0.0	0.0
neuroimage	nan	nan
nips	0.9915682967959528	1.0
pacis	1.0	1.0
pattern_recognition	0.0	0.0
pdpta	1.0	1.0
pimrc	0.9977777777777778	1.0
robio	1.0	1.0
sac	0.9863013698630136	0.9982668977469671
siam_j._comput.	0.5	0.21428571428571427
sigcse	1.0	0.9974489795918368
sigir	0.899135446685879	0.8888888888888888
sigmod_conference	0.75	0.7324414715719063
smc	1.0	1.0
soda	0.9898305084745763	1.0
softw.,_pract._exper.	0.5	0.09090909090909091
stoc	0.9569230769230769	1.0
theor._comput._sci.	0.0	0.0
vlsi_design	1.0	0.985239852398524
vtc_fall	0.9961759082217974	1.0
vtc_spring	1.0	1.0
wcnc	1.0	1.0
winter_simulation_conference	1.0	1.0
